;Property;Expected Type;Description;;;Kategorie2
Name_Attributes;;;;;;
;additionalName;Text;An additional name for a Person, can be used for a middle name.;;;Name_Attributes
;familyName;Text;Family name. In the U.S., the last name of a Person.;;;Name_Attributes
;givenName;Text;Given name, the first name of a Person.;;;Name_Attributes
;honorificPrefix;Text;An honorific prefix preceding a Person's name such as Dr/Mrs/Mr.;;;Name_Attributes
;honorificSuffix;Text;An honorific suffix following a Person's name such as M.D./PhD/MSCSW.;;;Name_Attributes
;alternateName;Text;An alias for the item.;;;Name_Attributes
Biographical_Attributes;;;;;;
;birthDate;Date;Date of birth.;;;Biographical_Attributes
;birthPlace;"Place
";The place where the person was born.;;;Biographical_Attributes
;deathDate;Date;Date of death.;;;Biographical_Attributes
;deathPlace;"Place
";The place where the person died;;;Biographical_Attributes
;relatedTo;Person;The most generic familial relation.;;;Biographical_Attributes
;children;Person;A child of the person.;;;Biographical_Attributes
;sibling;Person;A sibling of the person. Supersedes siblings.;;;Biographical_Attributes
;spouse;Person;The person's spouse/partner;;;Biographical_Attributes
;parents;Person;A parents of the person.;;;Biographical_Attributes
;gender;"GenderType  or 
Text";"Gender of something, typically a Person, but possibly also fictional characters, animals, etc. While https://schema.org/Male and https://schema.org/Female may be used, text strings are also acceptable for people who do not identify as a binary gender. The gender property can also be used in an extended sense to cover e.g. the gender of sports teams. As with the gender of individuals, we do not try to enumerate all possibilities. A mixed-gender SportsTeam can be indicated with a text value of ""Mixed"".";;;Biographical_Attributes
;hasOccupation;Occupation;The Person's occupation. For past professions, use Role for expressing dates.;;;Biographical_Attributes
;homeLocation;"ContactPoint  or 
Place";A contact location for a person's residence.;;;Biographical_Attributes
;jobTitle;"DefinedTerm  or 
Text";The job title of the person (for example, Financial Manager).;Maybe for military rank?;;Biographical_Attributes
;memberOf;"Organization  or 
ProgramMembership
";"An Organization (or ProgramMembership) to which this Person or Organization belongs. 
Inverse property: member";;;Biographical_Attributes
;performerIn;Event;Event that this person is a performer or participant in.;For Stalingrad battle?;;Biographical_Attributes
;sponsor;"Organization  or 
Person
";A person or organization that supports a thing through a pledge, promise, or financial contribution. E.g. a sponsor of a Medical Study or a corporate sponsor of an event.;;;Biographical_Attributes
Instances_of_Person;;;;;;
;member;"Organization  or 
ProgramMembership
";"A member of an Organization or a ProgramMembership. Organizations can be members of organizations; ProgramMembership is typically for individuals.";Active/passive?;;Instances_of_Person
;members;"Organization  or 
ProgramMembership
";A member of this organization.;;;Instances_of_Person
;sender;"Message  or 
ReceiveAction";A sub property of participant. The participant who is at the sending end of the action.;;;Instances_of_Person
;recipient;"AuthorizeAction  or 
CommunicateAction  or 
DonateAction  or 
GiveAction  or 
Message  or 
PayAction  or 
ReturnAction  or 
SendAction  or 
TipAction";A sub property of participant. The participant who is at the receiving end of the action.;;;Instances_of_Person
;toRecipient;Message;A sub property of recipient. The recipient who was directly sent the message.;;;Instances_of_Person
;agent;Action;The direct performer or driver of the action (animate or inanimate). E.g. John wrote a book.;;;Instances_of_Person
;attendee;Event;A person or organization attending the event.;;;Instances_of_Person
;author;"CreativeWork  or 
Rating
";The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.;;;Instances_of_Person
;colleague;Person;A colleague of the person.;;;Instances_of_Person
;funder;"CreativeWork  or 
Event  or 
Grant  or 
MonetaryGrant  or 
Organization  or 
Person
";A person or organization that supports (sponsors) something through some kind of financial contribution.;;;Instances_of_Person
;knows;Person;The most generic bi-directional social/work relation.;;;Instances_of_Person
;;;;;;Instances_of_Person
;;;;;;Instances_of_Person
;;;;;;Instances_of_Person